HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.uid,Input.url,Input.screenshot,Input.title,Input.description,Input.class,Input.bin,Answer.taskAnswers,Approve,Reject
3SU800BH86D6BNR10YTX2IAVZVKQUU,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3MD9PLUKKJZ5G95DGV5P40QXSM9NZF,A1IZ4NX41GKU4X,Approved,Thu Jun 03 06:51:31 PDT 2021,Thu Jun 03 06:52:19 PDT 2021,Sun Jun 06 06:52:19 PDT 2021,Sun Jun 06 06:53:07 PDT 2021,,,48,100% (33/33),0% (0/0),0% (0/0),1146040,www.medicaid.gov,1146040.jpeg,Medicaid.gov the official U.S. government site for Medicare  Medicaid,,5,1,"[{""category-0"":""YES"",""category-1"":""YES"",""category-10"":""YES"",""category-11"":""YES"",""category-12"":""YES"",""category-13"":""YES"",""category-2"":""YES"",""category-3"":""YES"",""category-4"":""YES"",""category-5"":""YES"",""category-6"":""YES"",""category-7"":""YES"",""category-8"":""YES"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
3SU800BH86D6BNR10YTX2IAVZVKQUU,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,31QTRG6Q2UY5E47L0OGYUIMQM94PYO,ARFAW0SGYEMFL,Approved,Thu Jun 03 13:36:09 PDT 2021,Thu Jun 03 13:44:49 PDT 2021,Sun Jun 06 13:44:49 PDT 2021,Sun Jun 06 13:45:08 PDT 2021,,,520,100% (512/512),0% (0/0),0% (0/0),1146040,www.medicaid.gov,1146040.jpeg,Medicaid.gov the official U.S. government site for Medicare  Medicaid,,5,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""YES"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3WGCNLZJKFTWDHWYTODTRHYZ5JY1D1,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,39GXDJN2OUZ34IDZ9WR31XN6FG18V9,A9JHTV37LSE5F,Approved,Thu Jun 03 06:09:54 PDT 2021,Thu Jun 03 06:10:22 PDT 2021,Sun Jun 06 06:10:22 PDT 2021,Sun Jun 06 06:11:07 PDT 2021,,,28,100% (4/4),0% (0/0),0% (0/0),1117243,www.graalonline.com,1117243.jpeg,GraalOnline  Home  Stephane Portha,GraalOnline The Adventure  Massively Multiplayer Games,13,0,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""YES"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3WGCNLZJKFTWDHWYTODTRHYZ5JY1D1,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,3EO896NRAXGDB75TV5OFP58ZY6HJTQ,A2CJFO19NY4T5R,Approved,Thu Jun 03 06:43:51 PDT 2021,Thu Jun 03 06:48:20 PDT 2021,Sun Jun 06 06:48:20 PDT 2021,Sun Jun 06 06:49:07 PDT 2021,,,269,100% (107/107),0% (0/0),0% (0/0),1117243,www.graalonline.com,1117243.jpeg,GraalOnline  Home  Stephane Portha,GraalOnline The Adventure  Massively Multiplayer Games,13,0,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""YES"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3WGCNLZJKFTWDHWYTODTRHYZ5JY1D1,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,34FNN24DCNU1LUP2G97KWCH9V8E5YR,AMG9Y1YLBTKIV,Approved,Thu Jun 03 11:29:41 PDT 2021,Thu Jun 03 11:30:19 PDT 2021,Sun Jun 06 11:30:19 PDT 2021,Sun Jun 06 11:31:08 PDT 2021,,,38,100% (424/424),0% (0/0),0% (0/0),1117243,www.graalonline.com,1117243.jpeg,GraalOnline  Home  Stephane Portha,GraalOnline The Adventure  Massively Multiplayer Games,13,0,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""YES"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""YES"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
33BFF6QPI1WRWQA4XNW27Y2HAJI3W4,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3VZLGYJEYMVAS3JHI1SY22HVU0QZXI,A2U83S62P8SZ6T,Approved,Thu Jun 03 07:56:26 PDT 2021,Thu Jun 03 07:57:01 PDT 2021,Sun Jun 06 07:57:01 PDT 2021,Sun Jun 06 07:57:07 PDT 2021,,,35,100% (19/19),0% (0/0),0% (0/0),1099594,www.olympiad.org.uk,1099594.jpeg,The British Informatics Olympiad,,2,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
33BFF6QPI1WRWQA4XNW27Y2HAJI3W4,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,36H9ULYP63F3S2NS0LJQ81TY7YBFJI,AMG9Y1YLBTKIV,Approved,Thu Jun 03 10:44:07 PDT 2021,Thu Jun 03 10:44:45 PDT 2021,Sun Jun 06 10:44:45 PDT 2021,Sun Jun 06 10:45:07 PDT 2021,,,38,100% (424/424),0% (0/0),0% (0/0),1099594,www.olympiad.org.uk,1099594.jpeg,The British Informatics Olympiad,,2,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""YES"",""category-8"":""NO"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
33BFF6QPI1WRWQA4XNW27Y2HAJI3W4,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,386PBUZZXGIPSUXOMWMO3EYI4WSJLQ,A3HW4QDJB63OQ2,Approved,Thu Jun 03 21:04:15 PDT 2021,Thu Jun 03 21:04:56 PDT 2021,Sun Jun 06 21:04:56 PDT 2021,Sun Jun 06 21:05:21 PDT 2021,,,41,100% (227/227),0% (0/0),0% (0/0),1099594,www.olympiad.org.uk,1099594.jpeg,The British Informatics Olympiad,,2,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""YES"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3HY86PZXPY315NAYPJODXZGK5VZ1EU,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,3PM8NZGV8Z11EBIQV59LB95RPXXQX7,A2CJFO19NY4T5R,Approved,Thu Jun 03 06:44:32 PDT 2021,Thu Jun 03 06:49:06 PDT 2021,Sun Jun 06 06:49:06 PDT 2021,Sun Jun 06 06:49:07 PDT 2021,,,274,100% (107/107),0% (0/0),0% (0/0),1666276,www.wheatgrassman.com,1666276.jpeg,"Grow Wheatgrass at home, Free! Wheatgrass Growing Instructions! Wheat Grass Juicers, Benefits of Wheatgrass","Buy Organic Genesis Wheatgrass, at health food stores and smoothie bars in the Dallas, Ft. Worth Texas or have it shipped directly to you. Wheatgrass growing supplies, benefits of wheatgrass",0,0,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""YES"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3HY86PZXPY315NAYPJODXZGK5VZ1EU,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,3WEV0KO0ONDZTLSMW9XEC2H0R5CSD6,AMG9Y1YLBTKIV,Approved,Thu Jun 03 14:33:39 PDT 2021,Thu Jun 03 14:34:31 PDT 2021,Sun Jun 06 14:34:31 PDT 2021,Sun Jun 06 14:35:11 PDT 2021,,,52,100% (424/424),0% (0/0),0% (0/0),1666276,www.wheatgrassman.com,1666276.jpeg,"Grow Wheatgrass at home, Free! Wheatgrass Growing Instructions! Wheat Grass Juicers, Benefits of Wheatgrass","Buy Organic Genesis Wheatgrass, at health food stores and smoothie bars in the Dallas, Ft. Worth Texas or have it shipped directly to you. Wheatgrass growing supplies, benefits of wheatgrass",0,0,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""YES"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""YES"",""offline"":{""on"":false}}]",,
3HY86PZXPY315NAYPJODXZGK5VZ1EU,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,3HQUKB7LNGZRFSJ87B45Z9PWAMVHHQ,A1J8TVICSRC70W,Approved,Thu Jun 03 15:42:03 PDT 2021,Thu Jun 03 15:42:18 PDT 2021,Sun Jun 06 15:42:18 PDT 2021,Sun Jun 06 15:43:11 PDT 2021,,,15,100% (35/35),0% (0/0),0% (0/0),1666276,www.wheatgrassman.com,1666276.jpeg,"Grow Wheatgrass at home, Free! Wheatgrass Growing Instructions! Wheat Grass Juicers, Benefits of Wheatgrass","Buy Organic Genesis Wheatgrass, at health food stores and smoothie bars in the Dallas, Ft. Worth Texas or have it shipped directly to you. Wheatgrass growing supplies, benefits of wheatgrass",0,0,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""YES"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""YES"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
