wid,url,Arts,Business,Computers,Games,Health,Home,Kids_and_Teens,News,Recreation,Reference,Science,Shopping,Society,Sports
571953,www.turri-inc.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
520300,www.shoghicom.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
712589,www.museepresidentjchirac.fr,1,0,0,0,0,0,0,0,1,1,0,0,1,0
905533,www.medialti.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
762222,notredamewrestling.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1
736941,www.raindropkites.co.uk,0,0,0,0,0,0,1,0,1,0,0,0,0,0
69088,vladas.braziunas.net,1,0,0,0,0,0,0,0,0,0,0,0,0,0
298225,www.aichi-edu.ac.jp,0,0,0,0,0,0,1,0,0,1,1,0,0,0
111367,www.englishwest.com,0,1,0,0,0,0,0,0,0,1,0,0,0,0
105429,www.ozdisan.com,0,1,1,0,0,0,0,0,0,0,0,1,0,0
642129,www.cancersupportivecare.com,0,0,0,0,1,0,0,0,0,0,0,0,0,0
754378,www.hextablemethodist.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,1,0
897036,www.lionel-valot.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
753015,www.jesuit.org.au,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97271,www.angstforeningen.dk,0,0,0,0,1,0,0,0,0,0,0,0,1,0
628179,www.colour-science.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34106,tarcima.narod.ru,0,0,1,0,0,0,0,0,0,0,0,0,0,0
724379,athletics.bowdoin.edu,0,0,0,0,0,0,0,0,0,0,0,0,0,1
682583,www.waytetravel.co.uk,0,1,0,0,0,0,0,0,0,0,0,0,0,0
390434,www.italvino.de,0,0,0,0,0,0,0,0,1,0,0,1,0,0
667509,my.yahoo.com,0,0,1,0,0,0,0,1,0,0,0,0,0,0
312409,www.seotrust.de,0,1,1,0,0,0,0,0,0,0,0,0,0,0
674872,www.carowinds.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0
905849,www.traghettiweb.it,0,1,0,0,0,0,0,0,1,0,0,1,0,0
826880,www.childfreebychoice.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0
685066,www.campgesher.com,0,0,0,0,0,0,1,0,1,0,0,0,1,0
47013,abeceda.sachu.sweb.cz,0,0,1,0,0,0,0,0,0,0,0,0,0,0
920582,www.feder.public.lu,0,1,0,0,0,0,0,0,0,1,0,0,1,0
313626,www.salaman.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671873,www.cmca.net.au,0,0,0,0,0,1,0,0,0,0,0,0,0,0
349932,www.rebalancing-therapie.de,0,0,0,0,1,0,0,0,1,0,0,0,0,0
279556,www.akimotosangyo.co.jp,0,1,0,0,0,0,0,0,0,0,0,0,0,0
362532,www.psychotherapie-eschenbacher.de,0,0,0,0,1,0,0,0,0,0,0,0,1,0
544494,www.cd-box.com.tw,0,1,0,1,0,0,1,0,0,0,0,1,0,0
94531,www.dissing.net,1,0,0,0,0,0,0,1,0,0,0,0,0,0
846534,www.chesterfieldspiritualistcentre.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110870,www.aciklise.net,0,0,0,0,0,0,1,0,0,1,0,0,0,0
911891,blag-apart.com,0,0,0,0,0,0,0,0,1,0,0,0,1,0
719217,www.scf.edu,0,0,0,0,0,0,1,0,0,1,0,0,1,0
383305,www.head-shop.de,0,0,0,0,0,0,0,0,1,0,0,1,0,0
85009,www.wermlandsheraldik.se,1,0,0,0,0,0,0,0,1,1,1,0,1,0
33527,www.apa.si,0,1,0,0,0,0,0,0,0,1,1,0,0,0
701699,www.skydivericks.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1
327984,www.djrtv.de,0,0,0,0,0,1,0,0,1,0,0,0,0,0
310657,www.mtug.de,0,0,1,0,0,0,0,0,0,0,0,0,0,0
322055,www.weingut-schwaab.de,0,1,0,0,0,1,0,0,1,0,0,1,0,0
237906,www.aziendaconte.it,0,1,0,0,0,0,0,0,0,0,0,0,0,0
846561,www.tscoi.org,0,0,0,0,0,0,0,0,0,0,0,0,1,0
668757,www.dailytrojan.com,0,0,0,0,0,0,1,1,0,0,0,0,1,0
924376,www.ophtavet.com,0,0,0,0,1,0,0,0,1,0,0,0,0,0
620474,www.imperatives.com,0,0,0,0,0,1,0,0,0,0,0,0,0,0
760554,www.ruachisrael.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0
306125,www.mastercam.de,0,1,1,0,0,0,0,0,0,0,1,0,0,0
48801,skupinamto.tripod.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0
822050,www.fieldspianos.com,1,1,0,0,0,0,0,0,0,0,0,1,0,0
786894,www.datem.com,0,0,1,0,0,0,0,1,0,0,1,0,0,0
690740,on3jt.byze.be,0,0,0,0,0,0,0,0,1,0,1,0,0,0
431234,www.dierplaag.nl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
204587,www.quinielista.es,0,0,0,1,0,0,0,0,1,0,0,0,0,1
279407,skylighttube.co.jp,0,1,0,0,1,1,0,0,0,0,1,0,0,0
331951,www.wissensdemokratie.de,0,0,0,0,0,0,0,0,0,1,1,0,1,0
771349,www.saintritaschool.net,0,0,0,0,0,0,1,0,0,0,0,0,1,0
427696,www.vuvl.li,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32852,www.supertravel.rs,0,0,0,0,0,0,0,0,1,0,0,0,0,0
466830,www.scottishstorytellingcentre.com,1,0,0,0,0,0,0,0,1,0,0,0,1,0
29432,dichev.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
691794,www.visahouse.com,0,1,0,0,0,0,0,0,1,1,0,0,0,0
586097,www.carriff.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
800853,www.benchpro2000.com.au,0,1,0,0,0,1,0,0,0,0,0,1,0,0
140113,www.ambianz.nl,0,0,0,0,0,0,0,0,1,0,0,0,0,0
611275,www.lextec.com,0,0,1,0,0,0,0,0,0,0,0,1,0,0
907258,www.lac-de-latournerie.com,0,0,0,0,0,0,0,0,1,0,0,0,0,1
882402,www.yorkcityknights.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,1
755989,haygoodpaints.com,0,1,0,0,0,1,0,0,0,0,0,1,0,0
147557,www.kravaalbos.be,0,0,0,0,0,0,0,0,1,0,0,0,0,1
611041,www.fgdc.gov,0,0,0,0,0,0,0,0,0,1,1,0,0,0
636251,www.olwydd.org,0,0,0,1,0,0,0,0,0,0,0,0,0,0
355761,hufrehe.blogspot.com,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8129,www.gstv.com.cn,0,0,0,0,0,0,0,1,0,0,0,0,0,0
790992,stormhighway.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0
427574,www.germanasset.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
359408,www.pcasuisse.ch,0,0,1,0,0,0,0,0,0,0,0,0,0,0
585457,www.htproducts.com,0,1,0,0,0,1,0,0,0,0,0,0,0,0
447885,alpacaschmiede.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0
713594,www.ecmfinaid.com,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12299,www.shutterphoto.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0
303753,www.ryomonji.jp,1,0,0,0,0,0,0,0,1,1,0,0,1,0
36636,postup.org.ua,0,0,0,0,0,0,0,1,0,0,0,0,1,0
721144,www.champlain.edu,0,0,0,0,0,0,1,0,0,1,0,0,0,0
778978,www.bscb.org,0,0,0,0,0,0,0,0,0,0,1,0,1,0
762525,www.childrenshopealliance.org,0,0,0,0,0,1,1,0,0,0,0,0,1,0
631875,www.chatopus.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0
880239,www.kernowleague.com,0,0,0,0,0,0,1,0,0,0,0,0,0,1
500164,www.acura.com,0,1,0,0,0,0,0,0,1,0,0,1,0,0
421589,www.gor-gmbh.de,0,1,0,0,0,0,0,0,0,0,0,0,0,0
514825,www.genesys.com,0,1,1,0,0,0,0,0,0,0,0,0,0,0
840414,www.medproductslaw.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772366,www.emmanuelcommunity.org,0,0,0,0,0,0,0,0,1,0,0,0,1,0
213359,www.owo.it,1,0,0,0,0,1,0,0,1,0,0,1,0,0
333863,www.balance-concept.com,0,0,0,0,1,0,0,0,1,1,0,0,1,0
602901,andersonstudios.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
604280,www.hiltonheadairport.com,0,1,0,0,0,0,0,0,1,0,0,0,0,0
390849,www.svw.info,0,0,0,1,0,0,0,0,0,0,0,0,0,1
218536,www.corex.it,0,1,0,0,0,0,0,0,0,0,0,0,0,0
658703,www.artofjoyinc.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291759,www.gas.or.jp,0,1,0,0,0,0,0,0,0,0,1,0,1,0
599768,www.clarkeprint.co.uk,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177846,zmeuga.ru,0,0,0,0,0,0,0,0,1,1,1,0,0,0
824885,www.pedalpad.com,0,0,0,0,0,0,0,0,1,0,0,1,0,0
568937,www.esquiretitleagency.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
498122,necmusic.edu,1,0,0,0,0,0,1,0,0,1,0,0,0,0
549005,www.colorantindia.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
474026,www.markwenzel.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0
695031,www.hanzell.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287058,www.willagency.co.jp,0,1,0,0,0,0,0,0,0,0,0,0,1,0
829078,www.jimhopper.com,0,0,0,0,1,0,1,0,0,1,1,0,1,0
108074,www.haliccevre.com,0,1,0,0,0,0,0,0,0,1,1,0,0,0
26365,www.notarsector3.ro,0,1,0,0,0,0,0,0,0,1,0,0,1,0
206747,www.irsa.com.ar,0,1,0,0,0,0,0,0,0,0,0,0,0,0
375686,www.piano-nova.de,1,0,0,0,0,0,0,0,1,0,0,0,0,0
505783,www.directdisplays.co.uk,0,1,0,0,0,1,0,0,0,0,0,0,0,0
638820,www.bastionsofwar.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0
383792,www.monasan.de,0,1,0,0,1,0,0,0,0,0,0,1,0,0
363425,www.naturheilpraxis-bergedorf.de,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256235,www.ibuki-ruka.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114943,www.rizebarosu.org.tr,0,0,0,0,0,0,0,0,0,0,0,0,1,0
774257,www.skepticreport.com,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48628,www.arcusrock.com,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151570,www.pc-franeker.nl,0,0,0,0,0,0,0,0,1,0,0,0,0,1
932276,www.aikidotakemusu.com,0,1,1,0,0,0,0,0,0,0,0,0,0,0
84922,www.alfakassan.se,0,1,0,0,0,0,0,0,0,0,0,0,1,0
623834,www.korusys.com,0,1,1,0,0,0,0,0,0,0,1,0,0,0
180468,www.mednovosti.ru,0,0,0,0,1,0,0,1,0,0,0,0,0,0
678360,www.makegoodcoffee.com,0,1,0,0,0,1,0,0,0,0,0,1,0,0
557684,www.elainecloss.co.uk,1,0,0,0,0,0,0,0,1,0,0,1,0,0
88821,www.hnn-byggefirma.dk,0,1,0,0,0,1,0,0,0,0,0,0,0,0
392329,www.aucoteam.de,0,1,0,0,0,0,0,0,0,0,1,0,0,0
786366,www.dinoart1.narod.ru,1,0,0,0,0,0,0,0,0,1,1,0,0,0
265607,unitika-phoenix.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
666667,www.aldridgegardens.com,1,0,0,0,0,1,0,0,1,0,0,0,0,0
572799,www.sel-tek.co.uk,0,1,1,0,0,0,0,0,0,0,0,0,0,0
462217,masterwill.blogspot.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0
251933,marilyn.jp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332889,fahrrad-anleitungen.de,0,0,0,0,0,0,0,0,1,1,0,0,0,1
91557,www.lassenricard.dk,0,1,0,0,0,0,0,0,0,0,0,0,0,0
647063,www.meassociation.org.uk,0,0,0,0,1,0,0,0,0,0,0,0,1,0
628229,www.russellconsultants.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
404227,www.eab-paderborn.org,0,0,0,0,0,0,0,0,0,1,0,0,0,0
515683,www.advantageperformance.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72661,www.bat.org,0,0,0,1,0,0,0,0,0,0,0,0,0,0
698041,www.isengardbelgians.com,0,0,0,0,0,1,0,0,1,0,0,0,0,0
157042,www.vrg-gent.be,0,0,0,0,0,1,0,0,0,0,0,0,0,0
620193,www.knowbility.org,0,0,1,0,0,0,0,0,0,1,0,0,1,0
140253,www.jesteroftheking.nl,1,0,0,0,0,0,0,0,1,0,0,0,1,0
924222,www.agmar.ch,0,0,0,0,1,0,0,0,0,0,1,0,0,0
756472,www.olivepit.com,0,1,0,0,1,0,0,0,0,0,0,1,0,0
561448,www.veripic.com,0,1,1,0,0,0,0,0,0,0,0,0,1,0
643651,www.canadianveterinarians.net,0,1,0,0,1,0,0,0,1,0,1,0,0,0
690675,www.nzart.org.nz,0,0,0,0,0,0,0,0,1,0,1,0,1,0
212364,www.fmre.org.mx,0,0,1,0,0,0,0,0,1,1,1,0,1,0
148588,www.overtocht.nl,0,1,0,0,0,0,0,0,1,0,0,1,0,0
29719,www.toyotabg.net,0,0,0,0,0,0,0,0,0,0,0,1,0,0
573789,www.infielddiesel.com,0,1,0,0,0,0,0,0,0,0,0,1,0,0
325201,bolonka-zwetnas-vom-tappenstieg.de,0,0,0,0,0,1,0,0,1,0,0,1,0,0
500738,www.cocpa.org,0,1,0,0,0,0,0,0,0,1,0,0,0,0
904055,www.parquet-chene-massif.com,0,1,0,0,0,1,0,0,0,0,0,1,0,0
97350,www.rigshospitalet.dk,0,0,0,0,1,0,0,0,0,0,0,0,0,0
725786,www.abtech.org,0,1,0,0,0,0,0,0,0,0,0,0,0,0
867551,www.unionchapel.org.uk,1,0,0,0,0,0,0,0,1,0,0,0,1,0
249911,hatoyamacraft.jugem.jp,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190302,www.esti-map.ru,0,0,1,0,0,0,0,0,0,0,0,0,0,0
789134,www.gestalttherapy.org,0,0,0,0,1,0,0,0,0,0,0,0,1,0
423417,www.rugh.de,0,1,1,0,1,0,0,0,0,0,0,0,0,0
878365,www.magma-freediving.com,0,0,0,0,1,0,0,0,1,0,0,0,0,1
311400,www.mylinkcheck.de,0,0,1,0,0,0,0,0,0,0,0,0,0,0
612634,www.vpchat.com,0,0,1,1,0,0,0,0,1,0,0,0,1,0
445027,tela-horb.de,0,1,0,0,0,0,0,0,0,0,0,0,0,0
383403,www.obelink.de,0,0,0,0,0,1,0,0,1,0,0,1,0,0
16873,www.timatile.com,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23504,www.mediaconstruct.ro,0,1,0,0,0,1,0,0,0,0,0,0,0,0
265234,www.moriokagym.com,0,0,0,0,1,0,0,0,1,0,0,0,0,1
220590,www.rustici.com,0,1,0,0,0,1,0,0,1,0,0,1,0,0
336761,www.vikz.de,0,0,0,0,0,0,0,0,1,0,0,0,1,0
534211,www.purilens.com,0,0,0,0,1,0,0,0,0,0,0,1,0,0
412074,www.svra.ch,0,0,0,0,0,0,0,1,0,0,0,0,0,1
779523,www.gbeckers.nl,0,0,0,0,0,0,0,0,0,0,1,0,0,0
210056,www.tnrelaciones.com,0,0,0,0,0,0,0,0,1,0,0,0,1,0
42630,www.tardona.hu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836695,yogaisforlovers.wordpress.com,1,0,1,0,1,0,0,0,1,0,0,1,0,1
599472,www.deltacnt.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
90200,www.nomeco.dk,0,1,0,0,1,0,0,0,0,0,0,0,0,0
654144,www.esrdnetworks.org,0,0,0,0,1,0,0,0,0,0,0,0,0,0
490152,www.josephpatrickmoore.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0
269686,www.sunwa.co.jp,0,1,0,0,0,0,0,0,0,0,0,0,0,0
914306,www.freebiker.net,0,0,0,0,0,0,0,0,1,0,0,0,0,1
552855,www.wvnla.org,0,1,0,0,0,1,0,0,1,0,0,0,0,0
416735,www.skiclub-todtnau.de,0,0,0,0,0,0,0,0,1,0,0,0,0,1
496867,timbrelinemusic.com,1,0,0,0,0,0,0,0,1,0,0,0,0,0
650382,goodneighborvet.com,0,0,0,0,1,0,0,0,1,0,0,0,0,0
168020,www.telasi.ge,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79020,www.bluerange.se,0,1,1,0,0,0,0,0,0,0,0,0,0,0
857590,www.tghlawoffice.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127253,www.bg.utp.edu.pl,0,0,0,0,0,0,0,0,0,1,1,0,0,0
361925,www.logopaedie-grams.de,0,0,0,0,1,0,1,0,0,0,0,0,0,0
526030,www.coit.com,0,1,0,0,0,1,0,0,0,0,0,0,0,0
272788,www.asahi-spectra.co.jp,0,1,0,0,0,0,0,0,0,0,1,0,0,0
541159,www.millerproducts.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
819864,www.aljancic.com,0,1,0,0,0,0,0,0,1,0,0,1,1,0
608039,www.equiinet.com,0,1,1,0,0,0,0,0,0,0,0,0,0,0
146547,www.ebc-ballon.nl,0,1,0,0,0,0,0,0,1,0,0,0,0,0
762168,www.holyspiritcathedralaocc.org,0,0,0,0,0,0,0,0,0,0,0,0,1,0
287824,www.ohno-office.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
327587,www.huelsenbecke.de,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95759,www.fair2buy.com,0,0,0,0,0,0,0,0,0,0,0,1,0,0
606567,news.ists.dartmouth.edu,0,0,0,0,0,0,1,0,0,1,1,0,1,0
221951,www.audiobox.it,1,1,0,0,0,0,0,0,1,0,0,0,0,0
851367,www.sydneyrotary.com,0,1,0,0,0,0,0,0,1,0,0,0,1,0
9566,verdadomo0.tripod.com,0,0,0,0,0,1,0,0,0,0,0,0,1,0
505475,www.srxa.com,0,1,0,0,1,0,0,0,0,0,0,0,0,0
923361,www.imso.be,0,0,0,0,0,1,0,0,0,0,0,0,0,0
361768,www.sprechzeit-raubling.de,0,0,0,0,1,0,0,0,0,0,0,0,0,0
705339,www.rescuecats.org,0,0,0,0,0,1,0,0,1,0,0,0,1,0
528276,www.ksovcorporation.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284771,www.nagoyabus.jp,0,1,0,0,0,0,0,0,1,0,0,0,0,0
182596,asgardclan.ru,0,0,0,1,0,0,0,0,0,0,0,0,0,0
636249,dragonica.ign.com,0,0,1,1,0,0,1,0,0,0,0,0,0,0
287940,aiwa-law.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
899374,www.agdaphoto.com,0,0,0,0,0,0,0,0,1,0,0,1,0,0
606261,www.scambusters.org,0,0,1,0,0,0,0,1,0,1,0,0,1,0
544883,www.superabrasives.com.hk,0,1,0,0,0,0,0,0,0,0,0,0,0,0
427469,www.agropool.ch,0,1,0,0,0,0,0,0,1,0,0,0,0,0
836605,studyofreligion.fas.harvard.edu,0,0,0,0,0,0,0,0,0,1,1,0,1,0
749734,ncfchurch.org,0,0,0,0,0,0,0,0,1,0,0,0,1,0
770550,www.ottershockey.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1
439826,www.werbebanner24.de,0,1,0,0,0,0,0,0,0,0,0,1,0,0
721903,www.laredoartcenter.org,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105181,www.lygm.com.tr,0,1,0,0,0,0,0,0,0,0,0,0,0,0
844628,www.billriceranch.org,0,0,0,0,0,1,1,0,1,0,0,0,1,0
41857,www.tpfk.hu,0,0,0,0,0,0,0,0,0,0,1,0,0,0
740089,cofcaustralia.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793101,www.thearabicschool.org,1,0,0,0,0,0,1,0,0,1,1,0,1,0
805048,www.cutterbuck.com,0,0,0,0,0,0,0,0,0,0,0,1,0,1
328044,www.glammys.de,0,0,0,0,0,1,0,0,1,0,0,0,0,0
54668,top.riska.cz,0,0,1,0,0,0,0,0,0,0,0,0,0,0
569040,www.private-detective-agency.com,0,1,0,0,0,0,0,0,0,0,0,0,1,0
111516,teknik.akdeniz.edu.tr,0,0,0,0,0,0,0,0,0,0,1,0,0,0
889342,dailycannon.com,0,0,0,0,0,0,0,1,0,0,0,0,0,1
717258,www.nianticchildrensmuseum.org,0,0,0,0,0,0,1,0,1,1,0,0,0,0
272006,www.matsuzaki-mt.co.jp,0,1,1,0,0,0,0,0,0,0,1,0,0,0
580625,anoveledit.com,1,0,0,0,0,0,0,0,0,1,0,0,0,0
165981,www.taganrog.seaport.ru,0,1,0,0,0,0,0,0,1,0,0,0,0,0
831749,www.eluls.org,0,0,0,0,0,0,0,0,0,1,1,0,1,0
709269,www.vallancecockers.com,0,0,0,0,0,1,0,0,0,0,0,0,0,0
819898,www.rkwoodcarving.com,1,0,0,0,0,0,0,0,1,0,0,1,0,0
886717,www.csirrunner.co.za,0,0,0,0,0,0,0,0,1,0,0,0,0,1
814024,www.rashbel.com,0,1,0,0,0,0,0,0,0,0,0,1,0,0
494031,wtmj.com,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142525,www.marxisme.be,0,0,0,0,0,0,0,0,0,0,1,0,1,0
596516,www.bergmeyer.com,1,1,0,0,0,0,0,0,0,0,0,0,0,0
697932,www.akashima.bc.ca,0,0,0,0,0,1,0,0,1,0,0,0,0,0
218533,www.caviterm.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
344180,www.jenanwalt.de,0,1,0,0,0,0,0,0,0,0,0,0,1,0
383439,www.scherz-artikel.de,0,0,0,1,0,0,0,0,1,0,0,1,0,0
147051,www.zlsm.nl,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10664,hueuni.edu.vn,0,0,0,0,0,0,1,1,0,1,1,0,0,0
58639,www.kazimirka.cz,0,0,0,0,0,0,1,0,1,0,0,0,0,0
693261,www.fyly.gr,0,1,0,0,0,0,0,0,1,0,0,0,0,0
480137,www.rainbowserpent.net,0,0,0,0,0,0,0,0,1,0,0,0,1,0
154116,www.jaspersport.nl,0,0,0,0,0,1,0,0,0,0,0,0,0,1
898980,ensemblecontinuum.free.fr,1,0,0,0,0,0,0,0,1,0,0,0,0,0
427928,www.virtual-office-salzburg.at,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98402,www.kamstrup.name,0,0,0,0,0,1,1,0,0,0,0,0,0,0
515778,www.ahice.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
712083,liquidknowledgegroup.com,0,1,0,0,0,0,0,0,0,0,0,0,0,0
685351,www.campbirchwood.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0
321066,www.xn--goldmnzen-u9a.de,0,1,0,0,0,0,0,0,1,0,0,1,0,0
178594,autotraveler.ru,0,0,0,0,0,0,0,0,1,1,0,0,0,0
603067,www.carolinezphotography.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51320,atradius.cz,0,1,0,0,0,0,0,0,0,0,0,0,0,0
821017,www.charak.com,0,1,0,0,1,0,0,0,0,0,0,1,0,0
206703,www.coppel.com,0,1,0,0,0,1,0,0,0,0,0,1,0,0
393958,www.ccinterlaken.ch,0,0,0,0,0,0,0,0,1,0,0,0,0,1
511720,www.nanoamor.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
357569,www.mgz-muenchen.de,0,0,0,0,1,0,0,0,0,0,1,0,0,0
563245,www.highlandyurts.com,0,0,0,0,0,1,0,0,1,0,0,0,0,0
55668,www.skalka.cz,0,0,0,0,0,0,1,0,0,0,0,0,1,0
706637,www.equiside.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644367,www.coreconnexion.net,1,0,0,0,1,0,0,0,0,0,0,0,0,0
543933,www.diversifiedtextilemach.com,0,1,0,0,0,0,0,0,0,0,1,0,0,0
498987,hartnettsgirl.tripod.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
850554,www.phide.org,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46730,www.solar-napkollektor.hu,0,0,0,0,0,1,0,0,0,0,1,0,0,0
550541,www.nboat.com,0,1,0,0,0,0,0,0,1,0,0,0,0,0
419294,www.dirkschonberger.com,1,0,0,0,0,0,0,0,0,0,0,0,0,0
